filename	query	DonorMC	ReceptorMC	format	pattern
SIM1	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM2	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM3	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM4	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM5	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM6	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM7	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM8	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM9	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM10	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM11	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM12	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM13	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM14	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM15	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM16	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM17	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM18	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM19	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM20	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM21	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM22	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM23	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM24	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM25	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM26	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM27	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM28	AAC04981.2	Prokaryota	Opisthokonta	nexus	iHGT
SIM29	AAC04981.2	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM30	AAC04981.2	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM31	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM32	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM33	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM34	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM35	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM36	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM37	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM38	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM39	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM40	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM41	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM42	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM43	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM44	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM45	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM46	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM47	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM48	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM49	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM50	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM51	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
SIM52	AAG29538.1	Prokaryota	Opisthokonta	nexus	iHGT
SIM53	AAG29538.1	Prokaryota	Opisthokonta	nexus	multiple_MC
SIM54	AAG29538.1	Prokaryota	Opisthokonta	nexus	Patchy_phylogeny
