filename	AVP
SIM1	iHGT
SIM2	NoHGT
SIM3	NoHGT
SIM4	iHGT
SIM5	iHGT
SIM6	iHGT
SIM7	iHGT
SIM8	iHGT
SIM9	NoHGT
SIM10	iHGT
SIM11	NoHGT
SIM12	NoHGT
SIM13	iHGT
SIM14	NoHGT
SIM15	NoHGT
SIM16	iHGT
SIM17	iHGT
SIM18	NoHGT
SIM19	iHGT
SIM20	iHGT
SIM21	NoHGT
SIM22	iHGT
SIM23	iHGT
SIM24	NoHGT
SIM25	Inconclusive
SIM26	Inconclusive
SIM27	Inconclusive
SIM28	iHGT
SIM29	iHGT
SIM30	NoHGT
SIM31	iHGT
SIM32	NoHGT
SIM33	NoHGT
SIM34	iHGT
SIM35	iHGT
SIM36	iHGT
SIM37	iHGT
SIM38	Inconclusive
SIM39	NoHGT
SIM40	iHGT
SIM41	NoHGT
SIM42	NoHGT
SIM43	iHGT
SIM44	iHGT
SIM45	NoHGT
SIM46	iHGT
SIM47	iHGT
SIM48	NoHGT
SIM49	iHGT
SIM50	iHGT
SIM51	NoHGT
SIM52	iHGT
SIM53	iHGT
SIM54	NoHGT
SIM55	Inconclusive
SIM56	Inconclusive
SIM57	Inconclusive
SIM58	iHGT
SIM59	iHGT
SIM60	NoHGT
SIM61	iHGT
SIM62	NoHGT
SIM63	NoHGT
SIM64	iHGT
SIM65	iHGT
SIM66	iHGT
SIM67	iHGT
SIM68	iHGT
SIM69	NoHGT
SIM70	iHGT
SIM71	NoHGT
SIM72	NoHGT
SIM73	iHGT
SIM74	iHGT
SIM75	NoHGT
SIM76	iHGT
SIM77	iHGT
SIM78	NoHGT
SIM79	iHGT
SIM80	iHGT
SIM81	NoHGT
SIM82	iHGT
SIM83	iHGT
SIM84	NoHGT
SIM85	Inconclusive
SIM86	Inconclusive
SIM87	Inconclusive
SIM88	iHGT
SIM89	iHGT
SIM90	NoHGT
SIM91	iHGT
SIM92	NoHGT
SIM93	NoHGT
SIM94	iHGT
SIM95	iHGT
SIM96	iHGT
SIM97	iHGT
SIM98	iHGT
SIM99	NoHGT
SIM100	iHGT
SIM101	NoHGT
SIM102	NoHGT
SIM103	iHGT
SIM104	iHGT
SIM105	NoHGT
SIM106	iHGT
SIM107	iHGT
SIM108	NoHGT
SIM109	iHGT
SIM110	iHGT
SIM111	NoHGT
SIM112	iHGT
SIM113	iHGT
SIM114	NoHGT
SIM115	Inconclusive
SIM116	Inconclusive
SIM117	Inconclusive
SIM118	iHGT
SIM119	iHGT
SIM120	NoHGT
SIM121	iHGT
SIM122	NoHGT
SIM123	NoHGT
SIM124	iHGT
SIM125	iHGT
SIM126	iHGT
SIM127	iHGT
SIM128	iHGT
SIM129	NoHGT
SIM130	iHGT
SIM131	NoHGT
SIM132	NoHGT
SIM133	iHGT
SIM134	iHGT
SIM135	NoHGT
SIM136	iHGT
SIM137	iHGT
SIM138	NoHGT
SIM139	iHGT
SIM140	iHGT
SIM141	NoHGT
SIM142	iHGT
SIM143	iHGT
SIM144	NoHGT
SIM145	Inconclusive
SIM146	Inconclusive
SIM147	Inconclusive
SIM148	iHGT
SIM149	iHGT
SIM150	NoHGT
SIM151	iHGT
SIM152	NoHGT
SIM153	NoHGT
SIM154	iHGT
SIM155	iHGT
SIM156	iHGT
SIM157	iHGT
SIM158	iHGT
SIM159	NoHGT
SIM160	iHGT
SIM161	NoHGT
SIM162	NoHGT
SIM163	iHGT
SIM164	iHGT
SIM165	NoHGT
SIM166	iHGT
SIM167	iHGT
SIM168	NoHGT
SIM169	iHGT
SIM170	iHGT
SIM171	NoHGT
SIM172	iHGT
SIM173	iHGT
SIM174	NoHGT
SIM175	Inconclusive
SIM176	Inconclusive
SIM177	Inconclusive
SIM178	iHGT
SIM179	iHGT
SIM180	NoHGT
SIM181	iHGT
SIM182	NoHGT
SIM183	NoHGT
SIM184	iHGT
SIM185	iHGT
SIM186	iHGT
SIM187	iHGT
SIM188	iHGT
SIM189	NoHGT
SIM190	iHGT
SIM191	NoHGT
SIM192	NoHGT
SIM193	iHGT
SIM194	iHGT
SIM195	NoHGT
SIM196	iHGT
SIM197	iHGT
SIM198	NoHGT
SIM199	iHGT
SIM200	iHGT
SIM201	NoHGT
SIM202	iHGT
SIM203	iHGT
SIM204	NoHGT
SIM205	Inconclusive
SIM206	Inconclusive
SIM207	Inconclusive
SIM208	iHGT
SIM209	iHGT
SIM210	NoHGT
SIM211	iHGT
SIM212	NoHGT
SIM213	NoHGT
SIM214	iHGT
SIM215	iHGT
SIM216	iHGT
SIM217	iHGT
SIM218	iHGT
SIM219	NoHGT
SIM220	iHGT
SIM221	NoHGT
SIM222	NoHGT
SIM223	iHGT
SIM224	iHGT
SIM225	NoHGT
SIM226	iHGT
SIM227	iHGT
SIM228	NoHGT
SIM229	iHGT
SIM230	iHGT
SIM231	NoHGT
SIM232	iHGT
SIM233	iHGT
SIM234	NoHGT
SIM235	Inconclusive
SIM236	Inconclusive
SIM237	Inconclusive
SIM238	iHGT
SIM239	iHGT
SIM240	NoHGT
SIM241	iHGT
SIM242	NoHGT
SIM243	NoHGT
SIM244	iHGT
SIM245	iHGT
SIM246	iHGT
SIM247	iHGT
SIM248	iHGT
SIM249	NoHGT
SIM250	iHGT
SIM251	NoHGT
SIM252	NoHGT
SIM253	iHGT
SIM254	iHGT
SIM255	NoHGT
SIM256	iHGT
SIM257	iHGT
SIM258	NoHGT
SIM259	iHGT
SIM260	iHGT
SIM261	NoHGT
SIM262	iHGT
SIM263	iHGT
SIM264	NoHGT
SIM265	Inconclusive
SIM266	Inconclusive
SIM267	Inconclusive
SIM268	iHGT
SIM269	iHGT
SIM270	NoHGT
SIM271	iHGT
SIM272	NoHGT
SIM273	NoHGT
SIM274	iHGT
SIM275	iHGT
SIM276	iHGT
SIM277	iHGT
SIM278	iHGT
SIM279	NoHGT
SIM280	iHGT
SIM281	NoHGT
SIM282	NoHGT
SIM283	iHGT
SIM284	iHGT
SIM285	NoHGT
SIM286	iHGT
SIM287	iHGT
SIM288	NoHGT
SIM289	iHGT
SIM290	iHGT
SIM291	NoHGT
SIM292	iHGT
SIM293	iHGT
SIM294	NoHGT
SIM295	Inconclusive
SIM296	Inconclusive
SIM297	Inconclusive
SIM298	iHGT
SIM299	iHGT
SIM300	NoHGT
SIM301	iHGT
SIM302	NoHGT
SIM303	NoHGT
SIM304	iHGT
SIM305	iHGT
SIM306	iHGT
SIM307	iHGT
SIM308	iHGT
SIM309	NoHGT
SIM310	iHGT
SIM311	NoHGT
SIM312	NoHGT
SIM313	iHGT
SIM314	iHGT
SIM315	NoHGT
SIM316	iHGT
SIM317	iHGT
SIM318	NoHGT
SIM319	iHGT
SIM320	iHGT
SIM321	NoHGT
SIM322	iHGT
SIM323	iHGT
SIM324	NoHGT
SIM325	Inconclusive
SIM326	Inconclusive
SIM327	Inconclusive
SIM328	iHGT
SIM329	iHGT
SIM330	NoHGT
SIM331	iHGT
SIM332	NoHGT
SIM333	NoHGT
SIM334	iHGT
SIM335	iHGT
SIM336	iHGT
SIM337	iHGT
SIM338	iHGT
SIM339	NoHGT
SIM340	iHGT
