filename	query	DonorMC	ReceptorMC	format	pattern
XP_002952659.1	XP_002952659.1	Prokaryota	Archaeplastide	nexus	multiple_MC
AED93138.1	AED93138.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE84893.2	AEE84893.2	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
AEE82032.1	AEE82032.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
ANM69629.1	ANM69629.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_001699037.1	XP_001699037.1	Prokaryota	Archaeplastide	nexus	iHGT
ANM62003.1	ANM62003.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_001702310.1	XP_001702310.1	Amoebozoa	Archaeplastide	nexus	Patchy_phylogeny
XP_005852104.1	XP_005852104.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
AEE78601.1	AEE78601.1	Prokaryota	Archaeplastide	nexus	iHGT
AED95897.1	AED95897.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_005850501.1	XP_005850501.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_002863594.1	XP_002863594.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE28952.1	AEE28952.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_005852109.1	XP_005852109.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE86075.1	AEE86075.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_001693607.1	XP_001693607.1	Prokaryota	Archaeplastide	nexus	multiple_MC
AEE84891.1	AEE84891.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_001772551.1	XP_001772551.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_005850897.1	XP_005850897.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
AEC09231.1	AEC09231.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_004308863.1	XP_004308863.1	Opisthokonta	Archaeplastide	nexus	Patchy_phylogeny
XP_005845752.1	XP_005845752.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
XP_001783332.1	XP_001783332.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_005849188.1	XP_005849188.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
XP_001700896.1	XP_001700896.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
XP_002957276.1	XP_002957276.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
CAA0396144.1	CAA0396144.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_001690444.1	XP_001690444.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
AED93139.1	AED93139.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE73858.1	AEE73858.1	Prokaryota	Archaeplastide	nexus	iHGT
NP_001244915.1	NP_001244915.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_001785275.1	XP_001785275.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE29437.1	AEE29437.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE36251.1	AEE36251.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE27866.1	AEE27866.1	Prokaryota	Archaeplastide	nexus	iHGT
AED92293.1	AED92293.1	Prokaryota	Archaeplastide	nexus	iHGT
AAG51039.1	AAG51039.1	Prokaryota	Archaeplastide	nexus	iHGT
CAA0395559.1	CAA0395559.1	Prokaryota	Archaeplastide	nexus	NoHGT
ANM70875.1	ANM70875.1	Opisthokonta	Archaeplastide	nexus	iHGT
AEE79120.1	AEE79120.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
AED93473.1	AED93473.1	Prokaryota	Archaeplastide	nexus	iHGT
VYS58260.1	VYS58260.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_001755239.1	XP_001755239.1	Prokaryota	Archaeplastide	nexus	multiple_MC
AEE85534.1	AEE85534.1	Prokaryota	Archaeplastide	nexus	iHGT
AED95021.1	AED95021.1	Prokaryota	Archaeplastide	nexus	iHGT
VYS60221.1	VYS60221.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_002950254.1	XP_002950254.1	Prokaryota	Archaeplastide	nexus	NoHGT
OAO97826.1	OAO97826.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_001697381.1	XP_001697381.1	Opisthokonta	Archaeplastide	nexus	multiple_MC
XP_001756829.1	XP_001756829.1	Prokaryota	Archaeplastide	nexus	multiple_MC
XP_005851452.1	XP_005851452.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
AEE75306.1	AEE75306.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_001756434.1	XP_001756434.1	Prokaryota	Archaeplastide	nexus	iHGT
OAP06786.1	OAP06786.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE78721.1	AEE78721.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
AEE33078.1	AEE33078.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_005852100.1	XP_005852100.1	Prokaryota	Archaeplastide	nexus	iHGT
BAF03042.1	BAF03042.1	Opisthokonta	Archaeplastide	nexus	Patchy_phylogeny
AEE30321.1	AEE30321.1	Prokaryota	Archaeplastide	nexus	iHGT
AED96181.1	AED96181.1	Prokaryota	Archaeplastide	nexus	iHGT
AEC08802.1	AEC08802.1	Prokaryota	Archaeplastide	nexus	iHGT
XP_005849758.1	XP_005849758.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE84848.1	AEE84848.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE79193.1	AEE79193.1	Prokaryota	Archaeplastide	nexus	Patchy_phylogeny
XP_002519785.1	XP_002519785.1	Prokaryota	Archaeplastide	nexus	NoHGT
XP_021308688.1	XP_021308688.1	Opisthokonta	Archaeplastide	nexus	Patchy_phylogeny
AAG40613.1	AAG40613.1	Prokaryota	Archaeplastide	nexus	iHGT
AEE74982.1	AEE74982.1	Opisthokonta	Archaeplastide	nexus	iHGT
XP_002279864.1	XP_002279864.1	Opisthokonta	Archaeplastide	nexus	Patchy_phylogeny
XP_005851549.1	XP_005851549.1	Prokaryota	Archaeplastide	nexus	iHGT
