filename	AVP
7BWY_C	iHGT
AAA33311.1	iHGT
AAL66352.2	NoHGT
AAR90278.1	NoHGT
AAV91787.1	iHGT
ABK92591.1	iHGT
ABS11017.1	Inconclusive
ABS11018.1	NoHGT
ACB56927.1	iHGT
ACO24516.1	NoHGT
AEI26010	Inconclusive
AEJ72892	NoHGT
AEJ72894	Inconclusive
AEJ72900	iHGT
AEJ72919	iHGT
AEJ72920	NoHGT
AEJ72929	Inconclusive
AEM76962	Inconclusive
AEO55424	NoHGT
AEZ51611.1	iHGT
AFD97973.1	NoHGT
AGI63878.1	iHGT
AGI63879.1	iHGT
AIS88351.1	iHGT
AKS25185.1	iHGT
APC57595	Inconclusive
BAE59540	iHGT
CAA38795	Inconclusive
CAA47754	Inconclusive
CAB37186	Inconclusive
CAB44651.1	NoHGT
CACQ02002010.1	iHGT
CAK96875	iHGT
CAK97283.1	iHGT
CCC05617	iHGT
CCC05619	iHGT
CCC05620	iHGT
CCC05632	iHGT
CCC05675	iHGT
CCC05706	iHGT
CCC05715	iHGT
CCC05716	iHGT
CCC05729	iHGT
CCC05735	iHGT
CCC05737	iHGT
CCC05740	iHGT
CCC05745	iHGT
CCC05752	iHGT
CCC05754	iHGT
CCC05761	iHGT
CCC05776	iHGT
CCC05778	iHGT
CCC14605	iHGT
CCC14606	iHGT
CCC14611	iHGT
CCC14612	iHGT
CCC14775	Inconclusive
CCF36198	NoHGT
CEJ60764.1	iHGT
CEJ61593.1	iHGT
CEJ62828.1	iHGT
CEJ62933	Inconclusive
CEJ62934	Inconclusive
CEJ62935	iHGT
CEJ62936	iHGT
CEJ62947	iHGT
CEO58473.1	iHGT
CM003100.1	iHGT
CM003103.1	iHGT
CRG92929	iHGT
CRK22920	Inconclusive
CRK35267	Inconclusive
CRL19421.1	iHGT
CRL27897.1	iHGT
EAA34247	NoHGT
EAQ84402	iHGT
EAS36626.3	iHGT
EAW08583	iHGT
EAW10817.1	iHGT
EAW12188.1	iHGT
EAW12366.1	NoHGT
EAW14626.1	iHGT
EAW15365.1	iHGT
EDN23584.1	iHGT
EDR02747.1	iHGT
EED44706	iHGT
EED44707	iHGT
EED45029	iHGT
EED51137	iHGT
EED52087	iHGT
EEU34089	iHGT
EFQ24841	Inconclusive
EFQ30434.1	iHGT
EFQ87195	NoHGT
EFQ91084	iHGT
EFY85310	iHGT
EFY94139.1	NoHGT
EFY95951.2	iHGT
EFZ00744.1	NoHGT
EGU76839	NoHGT
EGU83363	NoHGT
EGU84956	NoHGT
EGX45489	Inconclusive
EGX48435	iHGT
EGX49805	NoHGT
EGX52451	iHGT
EGX52552	iHGT
EGX52553	iHGT
EGX54119	NoHGT
EGX87621	Inconclusive
EGZ70911	Inconclusive
EHK51157	Inconclusive
EKG08841	NoHGT
EKG08909	iHGT
ELA38265.1	iHGT
EMD85028	NoHGT
EMD85945	iHGT
EMD93446	iHGT
EMF08756	NoHGT
EMT63604	NoHGT
EMT68069	NoHGT
ENH62353.1	iHGT
ENH62594	NoHGT
ENH65419	NoHGT
ENH68838	NoHGT
EPE32803	NoHGT
EPS32030	NoHGT
EPS32043	NoHGT
EPS32044	Inconclusive
EPS32045	iHGT
EQB47033	iHGT
EQB47035	iHGT
EQB48863	iHGT
EQB49680	iHGT
EQB53828	NoHGT
EQK98910	NoHGT
EQK98913	NoHGT
EQK99821	Inconclusive
EQL02364	NoHGT
EQL02365	NoHGT
EQL03042	NoHGT
ETS81808	Inconclusive
EUC27147	Inconclusive
EUC31191	NoHGT
EWG39554	Inconclusive
EWG40287	NoHGT
EWG42777	NoHGT
EWY88991	NoHGT
EWY90871	NoHGT
EWZ02585	NoHGT
GAW25980	NoHGT
KAA8567505.1	iHGT
KAA8893860	NoHGT
KAB8203777	iHGT
KAB8219465	iHGT
KAB8227358	iHGT
KAB8240097	iHGT
KAB8264272	iHGT
KAE8133809	iHGT
KAE8167865	iHGT
KAE8361477	iHGT
KAE8373864	iHGT
KAF2867807	iHGT
KDN68594	NoHGT
KDN68596.1	NoHGT
KFE72029.1	iHGT
KFZ02890	iHGT
KGO55260.1	iHGT
KGO68423.1	iHGT
KID95099.1	iHGT
KIN06857	iHGT
KIW11027	iHGT
KJK60778	iHGT
KKY14938	iHGT
KKY14939	Inconclusive
KMU75267	iHGT
KMU76118	iHGT
KMU76121	iHGT
KNA99591	NoHGT
KNB02586	NoHGT
KNB05243	NoHGT
KPM36340	Inconclusive
KUI63609.1	iHGT
KUI63871.1	iHGT
KUI64210.1	iHGT
KUI64544.1	iHGT
KUI64622.1	NoHGT
KUI64659.1	iHGT
KUI65030.1	iHGT
KUI65171.1	iHGT
KUI65958.1	iHGT
KUI66142.1	NoHGT
KUI66626.1	iHGT
KUI66641.1	iHGT
KUI66768.1	iHGT
KUI67325.1	NoHGT
KUI67499.1	iHGT
KUI67686.1	NoHGT
KUI67761.1	NoHGT
KUI68952.1	iHGT
KUI69068.1	NoHGT
KUI69083.1	NoHGT
KUI69650.1	iHGT
KUI69885.1	NoHGT
KUI70044.1	NoHGT
KUI70216.1	iHGT
KUI70981.1	iHGT
KUI71280.1	iHGT
KUI73280.1	iHGT
KUI73362.1	iHGT
KUI74494.1	iHGT
KUM59616	Inconclusive
KXG45488.1	iHGT
KXG49681.1	iHGT
KXT04062	Inconclusive
KZZ87186.1	iHGT
MBQ1969167.1	iHGT
NW_001517107.1	iHGT
NW_007361007.1	iHGT
NW_007361026.1	iHGT
NW_007361041.1	iHGT
NW_007361054.1	iHGT
NW_007361213.1	NoHGT
NW_007361228.1	iHGT
NW_007361248.1	Inconclusive
OAA34552	iHGT
OAA65313	iHGT
OAG05459	iHGT
OAG13539	NoHGT
OAG13553	NoHGT
OAG13589	NoHGT
OAG13596	NoHGT
OAG23012	NoHGT
OAG23014	NoHGT
OAG23022	NoHGT
OAG24496	iHGT
OAL68310.1	Inconclusive
OAQ57238	NoHGT
OAQ57937	NoHGT
OAQ63867	NoHGT
OAQ75893	iHGT
OAQ77865	Inconclusive
OAQ81693	Inconclusive
OAQ84353	Inconclusive
OAQ88193	Inconclusive
OAQ95610	Inconclusive
OBT69206	iHGT
OGE47479.1	iHGT
OGE49769.1	iHGT
OGE54967.1	iHGT
OGM49770	iHGT
OJD28593	iHGT
OJD28596	iHGT
OJD28597	iHGT
OJD28603	iHGT
OJD29193	iHGT
OJJ41970	Inconclusive
OJJ44073	NoHGT
OJJ61697	iHGT
OKO94676.1	iHGT
OKO95632.1	iHGT
OKO99005.1	iHGT
OKP10655.1	iHGT
OKP11010.1	iHGT
OOF89854	iHGT
OOF90473	iHGT
OOF90474	iHGT
OOF90475	iHGT
OOF90476	iHGT
OOF90477	iHGT
OOF90479	NoHGT
OOF90487	iHGT
OOO15185	iHGT
OQD60890.1	iHGT
OQD75660.1	iHGT
OQD82146.1	iHGT
OQD91040.1	iHGT
OQD98734	NoHGT
OQE06907.1	iHGT
OQE11321.1	iHGT
OQE15413.1	iHGT
OQE15702.1	iHGT
OQE16981.1	iHGT
OQE18854.1	iHGT
OQE21547.1	iHGT
OQE22264.1	iHGT
OQE22296.1	iHGT
OQE23018.1	iHGT
OQE26131.1	iHGT
OQE28238.1	iHGT
OQE32101.1	iHGT
OQE32103.1	iHGT
OQE32363.1	iHGT
OQE38039.1	iHGT
OQE38437.1	iHGT
OQE41184.1	iHGT
OQE44164.1	iHGT
OQE44772.1	iHGT
OQE68328.1	iHGT
OQE83802.1	iHGT
OQE93039.1	iHGT
OQU93937.1	iHGT
OQU93938.1	iHGT
OQU93939.1	iHGT
OQU93941.1	iHGT
OQU93945.1	iHGT
OQU93949.1	iHGT
OQU96063.1	iHGT
OQU96069.1	iHGT
OQU97771.1	iHGT
OQU97773.1	iHGT
OQU99154.1	iHGT
OQU99156.1	iHGT
OQV00733.1	iHGT
OQV00737.1	iHGT
OQV02097.1	iHGT
OQV02099.1	iHGT
OQV02397.1	iHGT
OQV02400.1	iHGT
OQV05612.1	iHGT
OQV05613.1	iHGT
OQV06630.1	iHGT
OQV06635.1	iHGT
OQV07699.1	iHGT
OQV07700.1	iHGT
PCD41346	NoHGT
PNP75179	Inconclusive
PNP77248	NoHGT
PNP77938	NoHGT
POS76181	NoHGT
PPJ59013	NoHGT
PSK46672	Inconclusive
PSN70973	NoHGT
PSN74715	NoHGT
Q2UN51	NoHGT
Q4HUA3	iHGT
Q4HUF8	iHGT
Q4I1K0	iHGT
Q4IK06	iHGT
Q4ILT3	iHGT
Q4IRS4	iHGT
Q4WAE7	NoHGT
Q4WBU1	iHGT
Q4WC03	iHGT
Q4WFW8	iHGT
Q4WXG7	NoHGT
Q4X1L0	iHGT
Q4X1L1	iHGT
Q55KD9	iHGT
Q6BHZ0	iHGT
Q6BT83	iHGT
Q6CGW9	iHGT
QOD95011.1	NoHGT
QOD95012.1	NoHGT
QOD95024.1	NoHGT
RAR02177	NoHGT
RAR02179	NoHGT
RAR02180	NoHGT
RDW59404	iHGT
RJE16699	NoHGT
RJE17647	iHGT
RMJ05178	iHGT
RMJ10533	iHGT
RMJ20019	iHGT
RMJ20352	iHGT
RMJ20361	iHGT
RMJ20428	iHGT
RMJ20448	iHGT
RMJ20493	iHGT
RMJ20512	iHGT
RMJ20514	iHGT
RMJ20557	iHGT
RMJ20564	iHGT
RMJ20575	iHGT
RMJ20576	iHGT
RMJ20590	iHGT
RMJ20603	iHGT
RMJ20604	iHGT
RMJ20635	iHGT
RMJ20653	iHGT
RMJ20661	iHGT
RMJ20664	iHGT
RMJ20676	iHGT
RMJ20681	iHGT
RMJ20690	iHGT
RMJ20715	iHGT
RMJ20721	iHGT
RMJ20724	iHGT
RMJ20725	iHGT
RMJ20739	iHGT
RMJ20743	iHGT
RMJ20759	iHGT
RMJ20946	iHGT
RMJ21198	iHGT
RMJ21199	iHGT
RMJ21201	iHGT
RMJ21202	iHGT
ROV86456	NoHGT
ROV86631	Inconclusive
RZR63803	iHGT
RZR66585	NoHGT
RZR68534	iHGT
RZR69541	iHGT
RZR69872	iHGT
RZR70247	iHGT
SNU03544.1	iHGT
SNU09219.1	iHGT
TID02864	iHGT
TID02865	NoHGT
TQB67431	iHGT
TQB67434	iHGT
TQB67435	iHGT
TQB67471	iHGT
TQN63560	NoHGT
TQS39022	iHGT
TVY53095	Inconclusive
WP_011028391.1	iHGT
WP_012813080.1	iHGT
WP_013568113.1	iHGT
WP_015309764.1	iHGT
WP_015309765.1	iHGT
WP_015309767.1	iHGT
WP_015745890.1	iHGT
WP_066531526.1	iHGT
WP_067140815.1	iHGT
WP_087098190.1	iHGT
WP_090860924.1	iHGT
WP_108439341.1	iHGT
XP_001262227.1	iHGT
XP_001262956.1	iHGT
XP_001267547.1	iHGT
XP_001276686.1	iHGT
XP_001550399.1	iHGT
XP_001558417.1	iHGT
XP_001794995.1	iHGT
XP_001796568.1	iHGT
XP_001802570.1	NoHGT
XP_001816541.3	iHGT
XP_001819933.3	iHGT
XP_001823103.1	NoHGT
XP_001825019.1	NoHGT
XP_001907063.1	iHGT
XP_001930965.1	iHGT
XP_001932301.1	iHGT
XP_001934409.1	iHGT
XP_001935182.1	iHGT
XP_001935333.1	iHGT
XP_001935567.1	NoHGT
XP_001937118.1	iHGT
XP_001937221.1	iHGT
XP_001937843.1	iHGT
XP_001938001.1	iHGT
XP_001938894.1	iHGT
XP_001940400.1	iHGT
XP_001940578.1	iHGT
XP_001942153.1	iHGT
XP_002543700.1	iHGT
XP_002582854.1	iHGT
XP_002583225.1	iHGT
XP_002585215.1	iHGT
XP_003174566.1	NoHGT
XP_003714388.1	iHGT
XP_003718985.1	iHGT
XP_007817175.1	iHGT
XP_007817569.1	iHGT
XP_007817602.1	iHGT
XP_007821433.1	NoHGT
XP_007821841.1	Inconclusive
XP_007822163.1	iHGT
XP_007822723.1	iHGT
XP_007822829.1	iHGT
XP_007823060.1	iHGT
XP_007823882.1	iHGT
XP_007824794.1	iHGT
XP_007824873.1	iHGT
XP_007825541.1	iHGT
XP_007825826.1	iHGT
XP_007825874.1	iHGT
XP_008094454.1	iHGT
XP_011316833.1	NoHGT
XP_011322121.1	NoHGT
XP_011326303.1	NoHGT
XP_011327214.1	NoHGT
XP_016595647.1	iHGT
XP_016602920.1	iHGT
XP_018236379.1	iHGT
XP_018744754.1	iHGT
XP_018747505.1	iHGT
XP_018752095.1	iHGT
XP_018753880.1	NoHGT
XP_018753892.1	iHGT
XP_018754877.1	iHGT
XP_018755354.1	iHGT
XP_018756204.1	iHGT
XP_018757757.1	NoHGT
XP_018757938.1	iHGT
XP_018758405.1	iHGT
XP_018758481.1	iHGT
XP_018759666.1	iHGT
XP_018760042.1	iHGT
XP_018760140.1	iHGT
XP_018760890.1	iHGT
XP_018761655.1	NoHGT
XP_059602661.1	iHGT
XP_059606201.1	iHGT
XP_380260.1	iHGT
XP_452610.1	iHGT
XP_657684.1	iHGT
XP_658110.2	iHGT
XP_658347.1	iHGT
XP_660192.1	iHGT
XP_664043.1	NoHGT
XP_681176.1	iHGT
XP_681629.1	iHGT
XP_752404.1	NoHGT
XP_753141.2	NoHGT
